,country,iso,yearstart,yearend,region,subregion,numberofabortions,abortionrate,perc_p_ending_in_a,spontaneous,datatype,datasource,complete,classification,modelused,marriedonly,notes
0,Albania,8.0,1990,1990,Europe and Northern America,Southern Europe,17400.0,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
1,Albania,8.0,1991,1991,Europe and Northern America,Southern Europe,20300.0,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
2,Albania,8.0,1992,1992,Europe and Northern America,Southern Europe,18700.0,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
3,Albania,8.0,1993,1993,Europe and Northern America,Southern Europe,25100.0,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,Yes,,
4,Albania,8.0,1994,1994,Europe and Northern America,Southern Europe,31622.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
5,Albania,8.0,1994,1994,Europe and Northern America,Southern Europe,22800.0,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,,,
6,Albania,8.0,1995,1995,Europe and Northern America,Southern Europe,22400.0,,,No,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,,,
7,Albania,8.0,1995,1995,Europe and Northern America,Southern Europe,31874.0,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
8,Albania,8.0,1996,1996,Europe and Northern America,Southern Europe,21180.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
9,Albania,8.0,1996,1996,Europe and Northern America,Southern Europe,32538.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
10,Albania,8.0,1997,1997,Europe and Northern America,Southern Europe,15705.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
11,Albania,8.0,1997,1997,Europe and Northern America,Southern Europe,22103.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
12,Albania,8.0,1998,1998,Europe and Northern America,Southern Europe,18944.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
13,Albania,8.0,1998,1998,Europe and Northern America,Southern Europe,12679.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
14,Albania,8.0,1999,1999,Europe and Northern America,Southern Europe,13951.0,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
15,Albania,8.0,1999,1999,Europe and Northern America,Southern Europe,19930.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
16,Albania,8.0,2000,2000,Europe and Northern America,Southern Europe,21004.0,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
