DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1975,11422,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1980,15912,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1981,15693,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1982,16289,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1983,17756,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1984,18908,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1985,20489,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1986,20838,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1987,20815,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1988,24053,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1989,23352,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1990,26112,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1991,30408,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1992,27745,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1993,33441,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1994,31292,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1995,32588,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,1996,27734,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2005,9403,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2014,5572,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2015,5619,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2017,1000,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2018,1147,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2019,837,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2020,873,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2022,676,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Albania,2023,702,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2006,11132,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2007,11501,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2008,12469,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2009,13797,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2014,11892,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2015,11104,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2016,10448,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2017,10006,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2018,10404,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2020,10718,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2022,9873,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Armenia,2023,8921,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1960,18926,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1965,18685,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1970,15613,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1975,26433,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1980,23394,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1984,19242,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1985,17907,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1986,16846,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1987,15547,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Austria,1988,15082,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2006,20864,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2007,22323,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2009,24554,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2010,26799,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2012,31037,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2013,27892,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2014,27220,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2015,27452,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2016,34569,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2017,34569,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2018,36141,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2020,34712,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Azerbaijan,2021,46871,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,1992,10332,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,1993,10721,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,1994,11224,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,1998,11999,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,1999,12734,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2000,13762,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2001,14775,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2002,14791,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2003,15595,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2004,16024,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2005,16696,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2007,18033,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2008,18304,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2009,18870,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2010,19095,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Belgium,2011,19578,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1960,143155,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1961,169060,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1962,95842,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1963,101309,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1964,112310,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1965,116079,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1966,121060,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1967,129972,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1968,113755,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1969,129852,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1970,142511,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1971,153687,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1972,154715,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1973,137439,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1974,144509,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1975,143450,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1976,142267,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1977,141917,,
ESTAT:DEMO_FABORT(1.0),21/03/25 11:00:00,Annual,Number,Total,Bulgaria,1978,147974,,
