DATAFLOW,LAST UPDATE,freq,unit,age,ord_brth,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2014,35760,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2016,31733,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2017,30869,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2018,28934,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2019,28561,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2020,28075,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2021,27211,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2022,24688,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Albania,2023,23617,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2014,43031,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2015,41763,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2016,40592,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2017,37700,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2018,36574,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2019,36041,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2020,36353,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2022,36375,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Armenia,2023,36590,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2014,81722,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2015,84381,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2016,87675,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2017,87633,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2018,85535,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2019,84952,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2020,83603,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2021,86078,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2022,82627,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Austria,2023,77605,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2014,170503,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2015,166210,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2016,159464,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2017,144041,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2018,138982,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2019,141179,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2020,126571,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2021,112284,,
ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),01/04/25 23:00:00,Annual,Number,Total,Total,Azerbaijan,2022,122846,,
