DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Andorra,2018,250,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2013,17089,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2014,17077,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2015,15612,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2016,15332,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2017,14661,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2018,13909,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2019,13668,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2020,13589,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2022,11905,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Albania,2023,11418,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2013,19638,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2014,20162,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2015,19630,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2016,19147,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2017,17969,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2018,17322,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2020,17299,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Armenia,2022,17139,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2013,38377,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2014,39560,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2015,40777,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2016,42624,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2017,42380,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2018,41739,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2019,41372,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2020,40669,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2021,41841,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2022,40060,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Austria,2023,37596,,
